epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.77,1.61553,2.7583,1.55244,0.81681,0.19241,0.3293,0.16124,1.62984,2.91569,1.43911,0.000655367,0.000655367,0.000655367
2,341.952,1.60112,2.21723,1.55393,0.33496,0.30894,0.23066,0.1101,1.84393,2.74673,1.80209,0.00127841,0.00127841,0.00127841
3,487.804,1.66865,2.15519,1.62042,0.30658,0.28184,0.22228,0.1025,1.89625,2.93333,1.91549,0.00185745,0.00185745,0.00185745
4,761.003,1.69588,2.09724,1.6189,0.47767,0.33333,0.33616,0.15788,1.74027,2.53065,1.76996,0.001802,0.001802,0.001802
5,1084.33,1.65196,1.92584,1.57059,0.58772,0.34959,0.39519,0.20268,1.68247,2.31123,1.70221,0.001736,0.001736,0.001736
6,1409.65,1.61547,1.81175,1.54055,0.52171,0.44715,0.455,0.2313,1.67249,2.09735,1.55868,0.00167,0.00167,0.00167
7,1733.26,1.57779,1.7352,1.53682,0.6136,0.44986,0.50713,0.24948,1.66302,2.23903,1.53799,0.001604,0.001604,0.001604
8,2058.37,1.55416,1.65666,1.49365,0.68603,0.46883,0.54753,0.29659,1.59617,1.73237,1.51514,0.001538,0.001538,0.001538
9,2400.81,1.52532,1.60097,1.49654,0.58526,0.54472,0.56572,0.29637,1.53965,1.8001,1.47343,0.001472,0.001472,0.001472
10,2652.29,1.49056,1.5562,1.45783,0.6301,0.51241,0.57915,0.31815,1.50121,1.73769,1.47335,0.001406,0.001406,0.001406
11,2873.36,1.48729,1.52472,1.45508,0.61024,0.55827,0.60029,0.35383,1.46466,1.65069,1.43974,0.00134,0.00134,0.00134
12,3054.32,1.47311,1.54339,1.4238,0.7314,0.52033,0.61976,0.35637,1.47321,1.7588,1.39718,0.001274,0.001274,0.001274
13,3220.7,1.43489,1.53637,1.44379,0.73121,0.53388,0.63513,0.37726,1.42696,1.5032,1.41337,0.001208,0.001208,0.001208
14,3389.48,1.40485,1.41493,1.42073,0.67856,0.53659,0.5995,0.36196,1.43796,1.5902,1.40858,0.001142,0.001142,0.001142
15,3546.02,1.42048,1.3497,1.40182,0.66915,0.61789,0.69369,0.40699,1.44966,1.39919,1.37177,0.001076,0.001076,0.001076
16,3707.26,1.3591,1.30738,1.3654,0.71723,0.54472,0.65881,0.38798,1.37776,1.45114,1.357,0.00101,0.00101,0.00101
17,3881.71,1.34568,1.26174,1.35226,0.65196,0.5935,0.66115,0.4035,1.39167,1.42186,1.36004,0.000944,0.000944,0.000944
18,4041.64,1.32213,1.26056,1.33747,0.67113,0.61941,0.66923,0.39913,1.40863,1.42568,1.37488,0.000878,0.000878,0.000878
19,4187.57,1.32312,1.29209,1.34154,0.67422,0.58266,0.65577,0.40194,1.39874,1.41059,1.34417,0.000812,0.000812,0.000812
20,4333.79,1.32623,1.17939,1.34131,0.7648,0.60434,0.70497,0.42743,1.35439,1.3483,1.34032,0.000746,0.000746,0.000746
21,4477.75,1.22464,1.19044,1.292,0.7305,0.57453,0.68706,0.4146,1.40503,1.39118,1.3699,0.00068,0.00068,0.00068
22,4618.41,1.2176,1.10811,1.28039,0.74909,0.55014,0.67698,0.41344,1.36397,1.38683,1.34849,0.000614,0.000614,0.000614
23,4761.44,1.18206,1.06859,1.26983,0.7319,0.59079,0.68153,0.42772,1.34585,1.3653,1.32225,0.000548,0.000548,0.000548
24,4901.79,1.17175,1.06834,1.25923,0.79156,0.5935,0.72335,0.44603,1.33146,1.28947,1.3198,0.000482,0.000482,0.000482
25,5043.47,1.17038,0.9966,1.2555,0.71519,0.67209,0.74153,0.45635,1.31589,1.22701,1.31738,0.000416,0.000416,0.000416
26,5181.92,1.12464,0.96159,1.23071,0.76792,0.64228,0.75485,0.4786,1.30112,1.20332,1.30259,0.00035,0.00035,0.00035
27,5319.56,1.11999,0.95041,1.23513,0.79284,0.60434,0.74496,0.47851,1.30038,1.21596,1.29534,0.000284,0.000284,0.000284
28,5457.77,1.09033,0.93949,1.19595,0.70024,0.69919,0.75768,0.4857,1.27504,1.16651,1.27418,0.000218,0.000218,0.000218
29,5593.52,1.08454,0.88925,1.2075,0.76454,0.65116,0.75547,0.48224,1.29184,1.17647,1.28478,0.000152,0.000152,0.000152
30,5767.66,1.0791,0.91345,1.18306,0.79732,0.62331,0.75559,0.4869,1.28311,1.18951,1.28167,8.6e-05,8.6e-05,8.6e-05
